id;phase;epic;priority;points;owner;title;outcome;acceptance;dependencies;evidence;status
JW-001;M0;Fundação;P0;3;Engenharia/QA;Fixar baseline e contrato de preservação;Inventário do commit, fixtures e lista de funcionalidades que não podem desaparecer.;"Registrar contratos e exemplos atuais de pesquisa, quatro ferramentas, leitor, histórico, importação e quatro exportações. | Separar conteúdo legado não validado de evidência verificada; guardar fixtures sem chaves.";;"94c4c2e; análises anteriores e evidencias-adicionais.json";Parcial
JW-002;M0;Fundação;P0;3;Engenharia/DevOps;Build reproduzível e CI mínimo;Runtime definido, dependências travadas e pipeline de lint/testes isolados.;"Clone limpo instala e roda testes sem credenciais nem rede por padrão. | Falhar CI por nomes indefinidos, segredo em fixture e quebra do contrato; separar testes externos opt-in.";JW-001;"requirements.txt; 3 F821; test_ddg_only.py importa função ausente";Parcial
JW-003;M0;Segurança;P0;3;Backend;Vincular credencial ao destino autorizado;"Registro de provedores no servidor; URL do cliente nunca recebe chave do servidor.";"Requisições com base_url arbitrária são rejeitadas antes da chamada. | Chave DeepSeek não é enviada ao endpoint Hy3; fallback mantém política de credenciais e custos.";JW-001;"main.py:270,310; rag_engine.py:263-288; reprodução anterior";Concluído
JW-004;M0;Segurança;P0;5;Backend;Proteger leitor e downloads contra SSRF;Política única de rede com hosts, protocolo, portas, redirecionamentos, tamanho e prazo permitidos.;"Bloquear loopback, redes privadas, metadados, userinfo e host disfarçado em URL. | Validar cada redirecionamento e resolução; fonte externa só usa caminho explicitamente autorizado.";JW-003;"main.py:417-425; scraper.py:104-111";Parcial
JW-005;M0;Segurança;P0;5;Frontend/Backend;Sanitizar HTML, Markdown e importações;Renderização segura por contexto, esquema de importação e política de conteúdo.;"Fixtures com onerror, javascript:, atributos quebrados, SVG e JSON malicioso não executam código. | Manter texto, tabelas e links válidos no leitor e na exportação; CSP compatível com assets versionados.";JW-001;"scraper.py:571-616; app.js:485-501,534,581,935,1096";Parcial
JW-006;M0;Segurança;P0;2;Backend;Retirar configuração global da API pública;"Configuração administrativa separada; nenhuma escrita pública em .env.";"POST público não muda credenciais de outros usuários. | Configuração administrativa não sobrescreve variáveis existentes; teste não depende de corrigir só o import faltante.";JW-003;"main.py:481; scraper.py:44-60";Concluído
JW-007;M0;Segurança;P0;5;Backend/Produto;Definir acesso, cotas e limites de entrada;Política explícita para uso local, beta restrito e hospedagem pública.;"Limitar tamanho de query, histórico, exportação e concorrência; retornar erro tipado. | Estabelecer sessão/capacidade de acesso e limite de uso da chave compartilhada; CORS não é tratado como autenticação.";JW-001, JW-003;ChatRequest e rotas sem limites de aplicação;Parcial
JW-008;M0;Segurança;P0;3;Frontend/Mobile;Isolar, remover e não exportar segredos;"Credenciais por provedor; remoção completa; Android não anexa chave ao leitor.";"Apagar Gemini remove ambas as chaves legadas no navegador. | Android só envia segredo ao provedor autorizado; logs, backups e exportações não contêm chaves; revisar armazenamento mobile.";JW-003, JW-006;"app.js:1341-1345; SearchApiClient.kt:19-29; UserDefaults/SharedPreferences";Parcial
JW-009;M0;Operação;P0;2;Backend/Frontend;Corrigir configuração e diagnóstico;Health check leve e diagnóstico que diferencia configurado, testado e indisponível.;"GET config não retorna NameError; diagnóstico WOL realmente chama a busca. | Latência ausente mostra não medida, nunca 120 ms fictícios; falha WOL não vira indicador verde.";JW-002, JW-006;"main.py:434,448; app.js:1433";Concluído
JW-010;M0;Operação;P0;3;Backend;Padronizar erros e preservar status HTTP;Erros tipados para timeout, autenticação, cota, modelo inexistente e fonte ausente.;"404 do leitor continua 404 e falha de pós-processamento não vira resposta de estudo HTTP 200. | 503 entra na política de recuperação; mensagens não atribuem reinício sem evidência.";JW-002, JW-009;"main.py:368,427-430; scraper.py:496-501; app.js:363";Concluído
JW-011;M1;Evidências;P0;5;Backend/IA;Criar contrato versionado de pesquisa e evidências;ResearchRun, Source, Passage, Claim e Citation com IDs e proveniência.;"Afirmação documental referencia trecho e documento existentes. | Versionar schema e permitir compatibilidade temporária com ai_response/results; separar inferência de fonte.";JW-001, JW-005, JW-007;Ausência atual de IDs de trechos e metadados de suporte;Parcial
JW-012;M1;Recuperação;P0;3;IA/Backend;Reformular perguntas preservando o assunto;Consultas temáticas para perguntas longas e continuações, sem corte cego das quatro primeiras palavras.;As duas perguntas sobre dívida produzem consultas contendo o assunto, inclusive com erros de digitação. | Pedido de formato não substitui o tema nem dispara pesquisa por palavras como tabela/família.;JW-011;"rag_engine.py:9-23,203-208; consultas-dirigidas.json";Parcial
JW-013;M1;Recuperação;P0;5;Backend;Resolver documentos e metadados canônicos;Remissões, índices e redirects viram documentos identificados sem troca silenciosa.;"URL com HTTP 200 e título divergente é rejeitada como referência daquele artigo. | Distinguir documento e parágrafo; não colapsar buscas diferentes removendo query; preservar títulos originais.";JW-004, JW-011;"scraper.py:448,463,551-567; títulos Feliz/Felipe alterados";Parcial
JW-014;M1;Recuperação;P1;5;Backend/IA;Extrair parágrafos e selecionar por relevância;Contexto com passagens relevantes e vizinhas, inclusive no final dos artigos.;"Fixture com resposta após 3.500 caracteres é recuperada. | Excluir menus e desafios antibot; diferenciar vazio, bloqueado e erro; limitar bytes sem afirmar leitura integral truncada.";JW-011, JW-013;"rag_engine.py:146-179; scraper.py get_clean_document";Parcial
JW-015;M1;Bíblia;P0;5;Backend/QA;Resolver referências e versículos estruturalmente;Referências normalizadas, edição/idioma e trechos fiéis aos marcadores do documento.;"Cobrir versículos isolados, listas, intervalos, capítulos cruzados e livros com número. | Rejeitar intervalo invertido/versículo inexistente; nunca substituir por 450 caracteres do começo do capítulo.";JW-011, JW-013;"scraper.py:694-758; evidencias-adicionais.json";Parcial
JW-016;M1;Evidências;P0;5;IA/Backend;Gerar respostas vinculadas às evidências;"Síntese com IDs de citações; links e bibliografia resolvidos pelo código.";"Modelo não determina IDs de documento/URL livremente. | Diferenciar texto bíblico, explicação da publicação e aplicação sugerida; ausência de fonte permanece explícita.";JW-011, JW-014, JW-015;"RAG sem contexto usa memória; autolinker escolhe por uma palavra";Parcial
JW-017;M1;Evidências;P0;5;Backend/QA;Validar citações antes de publicar resposta;Validação estrutural, literal e de correspondência de fonte, com revisão semântica amostral.;"Os 11 links defeituosos do ensaio anterior não passam como citações válidas. | Link existente não basta; verificar título/localização e citação literal; sinalizar suporte incompleto sem percentual inventado.";JW-013, JW-015, JW-016;verificacao-links-1.json;Parcial
JW-018;M1;Evidências;P1;3;Backend/IA;Aplicar escopo de fontes por execução;Escopo oficial/external explícito e imutável na pesquisa e seus materiais.;"Modo aprofundado não habilita fonte externa. | Host é validado por hostname; referências externas ficam identificadas; trocar provedor não ignora escopo.";JW-004, JW-011, JW-016;"scraper.py:468; include_external ignorado no RAG";Parcial
JW-019;M1;Segurança;P1;3;Backend/IA;Separar instruções de dados e papéis do cliente;"Histórico aceita papéis apropriados; documentos e importações não redefinem política.";"Histórico fornecido com role=system é rejeitado. | Documento contendo instruções para ignorar fontes não muda allowlist nem formato; validadores continuam determinísticos.";JW-005, JW-011, JW-016;"ChatMessage.role str; rag_engine.py:301; system_messages=2 em teste";Parcial
JW-020;M1;Recuperação;P1;3;Backend;Cache limitado e atualização das fontes;TTL, tamanho, idioma/edição e hash de conteúdo, com separação entre cache público e dados privados.;"Evitar colisão por trecho/tamanho e mistura entre usuários. | Fonte alterada cria nova versão; material salvo mantém proveniência sem mudar silenciosamente.";JW-011, JW-013, JW-014;_article_cache e _verse_cache sem limites;Planejado
JW-021;M1;Pesquisa;P1;5;IA/Produto;Perfis sintetizado e aprofundado com mesma precisão;Configurações versionadas de cobertura e saída, não de tolerância a referências erradas.;"Ambos exigem fontes válidas; sintetizado entrega pontos essenciais. | Aprofundado decompõe subtemas e respeita limites; resumo pode ser produzido de uma pesquisa profunda sem nova coleta.";JW-012, JW-016, JW-017, JW-018;COMPARACAO-E-PROPOSTA-DE-PESQUISA.md;Parcial
JW-022;M2;Execução;P0;5;Backend;Orquestrar orçamento global e modelos válidos;Deadline monotônico, limite de tokens/custo/tentativas e registro de capacidades de provedores.;"Nenhuma nova tentativa começa sem orçamento restante; testar 401,404,429,503 e timeout. | Modelo usado e motivo do fallback são registrados; não trocar silenciosamente para modelo pago fora da política.";JW-003, JW-010, JW-020, JW-021;"15s × retries × modelos; Gemini seis chamadas possíveis";Parcial
JW-023;M2;Execução;P1;8;Backend/DevOps;Persistir tarefas e resultados recuperáveis;"Fila/worker com estado durável, lease e checkpoint; API retorna identificador.";"Reinício não perde resultado concluído; tarefa abandonada termina ou retoma por política definida. | POST idempotente não cria trabalhos duplicados; custo externo de chamada já enviada não tem garantia de exatamente uma execução.";JW-007, JW-011, JW-022;"Necessário para pesquisa longa; não basta BackgroundTasks em memória";Planejado
JW-024;M2;Privacidade;P0;3;Backend;Autorizar acesso a cada pesquisa e material;Sessão/conta ou capacidade opaca vinculada ao dono, verificada em todas as rotas.;"Usuário B não lê, cancela nem exporta pesquisa de A por adivinhar ID. | Definir expiração e exclusão; payload da fila não contém segredo em texto puro.";JW-007, JW-008, JW-023;Novo estado persistente requer isolamento antes de exposição pública;Planejado
JW-025;M2;Execução;P1;5;Backend;Cancelamento e concorrência limitados;Cancelamento cooperativo nos transportes e limites globais/por usuário/provedor.;"Cancelar interrompe novas coletas e tentativas; trabalho síncrono remanescente é limitado e sinalizado. | Simular timeout e desconexão sem multiplicar pools ou deixar tarefas indefinidas.";JW-022, JW-023, JW-024;"Rotas def e pools por requisição; abort do navegador não encerra tudo";Parcial
JW-026;M2;Experiência;P1;3;Frontend/Backend;Progresso real e reconexão;Eventos ou polling autenticado com sequência e estados explícitos.;"Mostrar etapas observadas, lacunas e resultado parcial sem percentual fictício. | Reabrir página recupera estado/resultado; reconectar não reenvia a pesquisa.";JW-023, JW-024, JW-025;app.js:270-279 simula estágios por relógio;Planejado
JW-027;M2;Materiais;P1;5;Backend;Snapshots de pesquisa e revisões imutáveis;Versões de evidências e respostas como base estável dos derivados.;"Material guarda research_id e revision_id. | Atualizar pesquisa não reescreve tabela/esboço editado; oferecer nova versão e comparação.";JW-011, JW-017, JW-023, JW-024;Estado atual é array de turnos sem proveniência versionada;Planejado
JW-028;M2;Pesquisa;P1;3;IA/Backend;Gerir histórico e aprofundar lacunas;Janela/resumo com orçamento e recuperação de referências por ID.;"Continuação usa assunto atual e lacunas, não sempre a primeira pergunta. | Resumo preserva referências e instruções do usuário; não conserva como fato fonte antes invalidada.";JW-012, JW-021, JW-027;"app.js:286-291; rag_engine.py:203-208";Parcial
JW-029;M2;Experiência;P1;5;Frontend;Isolar conversas, concorrência e regenerações;"Estado de requisição por conversa e revisão; ramificar quando alterar histórico.";"Resultado atrasado nunca entra na conversa trocada/importada. | Duplo envio é controlado; regenerar não deixa descendentes aparentando depender da versão nova.";JW-026, JW-027, JW-028;app.js:247-370,348,1040,1140;Parcial
JW-030;M2;Experiência;P1;3;Frontend/Backend;Configuração por provedor e modo;Seleções coerentes de modelo, credencial, modo e capacidades.;"DeepSeek não recebe modelo/base Hy3; histórico restaura opções de modo/escopo. | Identificar provedor real usado e separar serviço local do remoto, inclusive Ollama.";JW-003, JW-008, JW-021, JW-022;app.js:304-310,1040,1238;Parcial
JW-031;M2;Operação;P1;3;Backend/DevOps;Instrumentar tempo, qualidade e consumo;Request/research IDs, tempos por fase e contadores por tentativa, sem conteúdo privado por padrão.;"Distinguir coleta, filas, geração e verificação. | Registrar tokens/custo quando o provedor informa; marcar desconhecido quando faltar; redigir segredos em erros.";JW-009, JW-022, JW-023;Diagnóstico atual não explica causas de lentidão;Planejado
JW-032;M3;Ferramentas;P1;5;Backend/Frontend;Contrato comum das quatro ferramentas;Ações tipadas sobre uma pesquisa/revisão e itens selecionados, mantendo os quatro acessos.;"Cada clique identifica ferramenta, base e opções; não é só uma frase no chat. | Sem evidência suficiente, pedir seleção ou oferecer busca complementar explícita; preservar pesquisa original.";JW-016, JW-024, JW-027, JW-029;"index.html:273-283; app.js:232-239";Parcial
JW-033;M3;Tabela comparativa;P1;5;IA/Frontend;Comparar os textos selecionados da consulta;Tabela com referência, contexto, ponto central, relações, aplicação e fonte por linha/célula.;"Todas as linhas correspondem à seleção e citam evidência correta. | Não incluir novos textos silenciosamente; distinguir semelhança, diferença contextual e ausência de informação.";JW-015, JW-017, JW-032;Requisito explícito do usuário;Parcial
JW-034;M3;Tabela comparativa;P2;3;Frontend;Personalizar e exportar tabela;Seleção de colunas, ordenação, visualização móvel em cards e exportação tabular.;"Célula com barra vertical, link ou quebra de linha não desloca colunas. | CSV e DOCX preservam referências; exportação só da tabela não leva conversa privada completa.";JW-033;"Parsers split(""|"") atuais; tabelas sem estrutura de dados";Planejado
JW-035;M3;Estudo em família;P1;3;Produto/Frontend;Configurar participantes e objetivo do estudo;"Perfis opcionais por faixas etárias/necessidades, duração e objetivo; sem nomes obrigatórios.";"Permitir crianças de diferentes idades, adolescentes, adultos, casal/marido/mulher e idosos. | Suportar grupo misto e pessoa sozinha; nenhum papel ou limitação é presumido só por sexo/idade.";JW-032;Requisito explícito do usuário;Parcial
JW-036;M3;Estudo em família;P1;5;IA/Frontend;Gerar roteiro familiar adaptável;Abertura, leituras, perguntas, atividade, aplicação e recapitulação com opções por participante.;"Perguntas e respostas sugeridas remetem às fontes; atividade autoral é identificada. | Adaptar linguagem, abstração, tamanho do bloco e participação; variantes não somam todas ao tempo principal.";JW-015, JW-017, JW-035;Atalho atual só pede resumo em tópicos;Parcial
JW-037;M3;Textos bíblicos;P1;5;IA/Frontend;Organizar e ampliar textos com contexto;Separar textos já usados de complementares, com motivo da relação e consulta ao contexto.;"Complementar só entra após leitura/validação e recebe nova proveniência. | Listas/intervalos mantêm todos os versos e edição; referência abre trecho correto; não confundir paráfrase com citação.";JW-015, JW-017, JW-032;"Requisito explícito; parser atual perde versículos";Parcial
JW-038;M3;Esboço estruturado;P1;5;IA/Frontend;Criar esboços nas sete durações;Tema, objetivo, introdução, desenvolvimento, aplicação, conclusão, leituras e transições.;"Aceitar 3,5,10,15,30,45,60 minutos e somar blocos em segundos exatamente ao alvo. | Preservar fontes e instruções fornecidas; não apresentar esboço autoral como oficial.";JW-015, JW-017, JW-032;Requisito explícito do usuário;Parcial
JW-039;M3;Esboço estruturado;P1;3;Backend/Frontend;Estimar apresentação e ajustar duração;Tempo planejado separado de estimativa oral, com ritmo editável, leituras e pausas.;"Recalcular ao editar e detectar excesso; leitura não é contada duas vezes. | Encurtar preserva argumento/fontes centrais; ampliar acrescenta desenvolvimento relevante, não repetição.";JW-038;Sem orçamento temporal no código atual;Parcial
JW-040;M3;Esboço estruturado;P2;3;Frontend;Modo de apresentação e ensaio;Fonte ampliada, tempo por bloco, cronômetro opcional e notas do orador.;"Funcionar por teclado/toque e salvar marcações localmente. | Distinguir cronômetro real de estimativa; exportar versão de orador sem expor notas em versão pública por padrão.";JW-038, JW-039;Melhoria proposta para uso prático em discursos;Planejado
